"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Para Empezar"|"Guacamole Tradicional"|"10.00"|""
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Para Empezar"|"Guacamole Toppings"|"0.50"|""
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Para Empezar"|"Tostada De Cangrejo"|"11.00"|"1 review"
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Para Empezar"|"Coctel De Camarones"|"11.00"|""
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Para Empezar"|"Ensalada De Nopales"|"10.00"|""
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Para Empezar"|"La Contenta Nachos"|"10.00"|"1 review 1 photo"
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Para Empezar"|"Queso Fundido"|"11.00"|"14 reviews 2 photos"
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Para Empezar"|"Fish Taco"|"11.00"|"43 reviews 15 photos"
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Plato Fuerte"|"Pollo En Mole Poblano"|"18.00"|"1 review 1 photo"
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Plato Fuerte"|"Pork Rib Eye a La Parrilla"|"20.00"|"1 review"
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Plato Fuerte"|"Chile Relleno Y Ratatouille"|"17.00"|""
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Plato Fuerte"|"Pan-Roasted Salmon"|"20.00"|"1 photo"
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Plato Fuerte"|"Langosta a La Mantequilla"|"24.00"|""
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Plato Fuerte"|"Hanger Steak a La Parrilla"|"22.00"|""
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Plato Fuerte"|"Braised Short Ribs"|"24.00"|"1 review"
"La Contenta"|"6Ct7OeTRn4caY9g0swFBsw"|"Plato Fuerte"|"Enchiladas De Camaron"|"18.00"|""
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Tacos & Tostadas choose corn or flour tortilla"|"Carne Asada / Grilled Steak"|"3.75"|"6 reviews 3 photos"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Tacos & Tostadas choose corn or flour tortilla"|"Pollo Asado / Grilled Chicken"|"3.50"|"4 reviews 2 photos"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Tacos & Tostadas choose corn or flour tortilla"|"Adobada / Marinated Pork"|"3.50"|"10 reviews 3 photos"
