"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Manchego"|""|"6 reviews 1 photo"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Cabot Clothbound Cheddar"|""|""
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Camembert"|""|"4 reviews 3 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Bleu d'Auvergne"|""|"3 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Brillat savarin"|""|"2 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Tte De Moine"|""|""
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Kunik"|""|"3 reviews 1 photo"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Roquefort"|""|"5 reviews 2 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Fromages & charcuteries Cheese plate One Cheese or Choice of 3 Cheeses"|"Garrotxa"|""|"2 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Charcuterie"|"Coppa"|""|"2 reviews 1 photo"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Charcuterie"|"Proscuitto Di Parma"|""|"1 review"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Charcuterie"|"Duck Breast"|""|"18 reviews 5 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Charcuterie"|"Rosette De Lyon"|""|"1 review"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Charcuterie"|"Sopressatta"|""|"2 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Rostini Amuse- Bouches"|""|""
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Burgundy Escargots Gratinee"|""|"5 reviews 1 photo"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Foie Gras Au Torchon with Red Wine Poached Pear"|""|"6 reviews 1 photo"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Chicken Liver Mousse Served with Confiture D'oignons"|""|"34 reviews 6 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Baked Medjool Dates Stuffed"|""|"3 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Warm Pistachio Crusted Goat Cheese Ball with Honey"|""|"53 reviews 12 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Steamed Mussels with Leeks"|""|""
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Hand Cut Steak Tartare"|""|"6 reviews 1 photo"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Salmon Tartare with Cornichon"|""|"8 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Flatbread Topped with Portabella Mushrooms"|""|"3 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Brandade De Morue"|""|"1 review"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Appetizers"|"Soupe Du Jour"|""|""
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Salades"|"Seasonal Mix Greens and Cherry Tomatoes with Lemon Dressing"|""|""
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Salades"|"Salade Amlie"|""|"1 review"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Salades"|"Roasted Red Beets Salad"|""|"1 review 1 photo"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Salades"|"Smoked salmon and arugula salad"|""|"2 reviews 2 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Salades"|"Frise Salad with Warm Bacon and Shallots"|""|"1 review"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Entrees"|"Whole Brook Trout Pan- Roasted"|""|"3 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Entrees"|"Gratin De Ravioles Du Royans"|""|"15 reviews 2 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Entrees"|"Roasted Duck Leg Confit"|""|"53 reviews 18 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Entrees"|"Filet Mignon (6oz) Served with Caramelized Cipollini Onions"|""|"1 review"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Entrees"|"Apple Cider Glazed Pork Tenderloin"|""|"2 reviews 2 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Garnitures"|"Pommes frites"|""|"5 reviews 1 photo"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Garnitures"|"Ratatouille"|""|"6 reviews 3 photos"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Garnitures"|"Sauted Spinach"|""|""
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Garnitures"|"Haricots verts"|""|"4 reviews"
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Dessert"|"Vanilla Bean Crme Brule with Sliced Bananas"|""|""
"Amélie"|"ETgJqJHV7BW6pIr9Ox74sA"|"Dessert"|"Valrhona Chocolate Fondant"|""|"3 reviews"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Starters and Snacks"|"Deviled Eggs"|"3.00 7.00"|"36 reviews 11 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Starters and Snacks"|"Fried Green Tomatoes with Spicy Remoulade"|"7.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Starters and Snacks"|"Jezebel Wings with Buttermilk Dreesing"|"8.00 15.00"|"18 reviews 8 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Starters and Snacks"|"Roasted vegetable"|"8.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Starters and Snacks"|"Picnic Platter"|"13.00"|"4 reviews 4 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Soup & Salad Ask your server for dressing options"|"Soup of the Day"|"4.00"|"1 review"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Soup & Salad Ask your server for dressing options"|"Fresh Green Salad"|"7.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Chicken Fried Steak"|"4.00"|"35 reviews 15 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Fried Chicken"|"3.00"|"66 reviews 21 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Fried Green Tomatoes"|"3.00"|"44 reviews 14 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Egg"|"2.00"|"86 reviews 36 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Bacon"|"2.00"|"37 reviews 9 photos"
